Time,Authorofthisform,Titleofthework,Releaseyear,Authors,EmotionalinvolvementAffectivity,FreedomofscenarioAgencyIcanImust,HybridityVirtualizationdegree,PresenceHowmuchdoIfeelbeinghere,Immersionqualityofthehardware,Generalsubjectivejudgement,IflinearDurationinminute,IfnonlinearDurationinminuteindicatedbytheproducersdistributors
Linear,Fabienne Tsaï,MY NAME IS PETER STILLMAN,2017,Lysander Ashton,2,1,2,1,1,2,4,
Non linear,Fabienne Tsaï,NOTES ON BLINDNESS,2016,"Arnaud Colinart, Amaury La Burthe, Peter Middleton & James Spinney",1,2,0,1,1,2,,15
Linear,Fabienne Tsaï,SCAN PYRAMIDS VR,2017,Collectif,5,3,5,5,5,5,50,
Non linear,Fabienne Tsaï,SENS VR,2016,"Charles Ayats, Armand Lemarchand, Marc Antoine Mathieu (d'après la BD SENS de M.A.Mathieu)",1,2,0,1,1,1,,30
Linear,Fabienne Tsaï,SERGEANT JAMES,2016,Alexandre Perez,2,1,0,2,2,1,7,
Linear,Fabienne Tsaï,THE ENNEMY,2017,Karim Ben Khelifa,5,3,5,3,3,5,40,
Linear,Fabienne Tsaï,THE PROTECTORS,2017,"Kathryn Bigelow, Imraan Ismail",1,0,0,0,0,0,10,
Non linear,Fabienne Tsaï,UNREST VR,2017,"Jennifer Brea, Amaury La Burthe",4,2,1,4,3,4,,30
Non linear,Fabienne Tsaï,VOYAGE AU COEUR DE L'EVOLUTION,2017,"scientifiques du musée, chefs de projets Orange, studios Manzalab et Akenomy, C. Dédardin, équipe HTC",1,1,0,0,2,1,,20
Non linear,Fabienne Tsaï,WILD THE EXPERIENCE,2014,Félix Lajeunesse et Paul Raphaël - Studio Felix et Paul - Canada,4,2,2,3,3,3,3,
Non linear,Sofia Kourkoulakou,Pearl,2017,Patrick Osborne ,3,3,2,2,3,4,,6
Non linear,Sofia Kourkoulakou,Lost Animals Eden,2009,Nicolas Sordello,2,2,,2,2,3,,
Non linear,Rémi Sagot-Duvauroux,Firebird - La Peri,2016,"Balthazar Auxietre, Hadrien Lanvin",3,1,0,3,4,4,,15
Linear,Rémi Sagot-Duvauroux,L'Île des Morts,2018,Benjamin Nuel,3,0,0,3,3,3,13,
Non linear,Rémi Sagot-Duvauroux,Beat Saber,2018,"Ján Ilavský, Vladimír Hrinčár, Peter Hrinčár, Jaroslav Beck (Composer)",4,2,0,3,4,4,,
Linear,Rémi Sagot-Duvauroux,Conscious Existence,2018,Marc Zimmermann,3,0,0,1,3,3,12,
Non linear,Rémi Sagot-Duvauroux,Global seed Vault VR Experience,2016,Magali Daniaux and Cédric Pigot ,3,1,0,3,3,3,,
Non linear,Léa Mercier,Beyond Manzanar,2000,Tamiko Thiel et Zara Houshmand,,,,,,,,
Non linear,Léa Mercier,Proteus,2013,Ed Key,,4,0,,,2,,
Non linear,Léa Mercier,Prosthetic Head,2003,Stelarc,,4,4,,,,,
Non linear,Léa Mercier,Velvet-Strike,2002,"Anne-Marie Schleiner, Joan Leandre et Brody Condon",,4,,,,4,,
Non linear,Pierre Hénon,World Skin,1997,"Maurice Benayoun, Jean-Baptiste Barrière",4,1,2,3,3,4,,
Non linear,Pierre Hénon,Interactive plant growing,1992,Christa Sommerer et Laurent Mignonneau,2,4,3,2,3,5,,
Non linear,Pierre Hénon,Le diable est-il courbe,1994,Maurice Benayoun,5,2,2,4,3,4,,
Non linear,Pierre Hénon,Le tunnel sous l'Atlantique,1995,Maurice Benayoun,3,2,3,3,3,4,,
Linear,Pierre Hénon,Duet,2014,Glen Keane,3,1,1,3,2,5,4
